Player,Span,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best Bowling,Average,Economy,Strike Rate,Four Wickets,Five Wickets,Start Year,End Year
AB Dinda (DC/KKR/PWI/RCB/RPS),2008-2017,78,75,1516,252.4,3,2073,69,Apr-18,30.04,8.2,21.97,1,0,2008,2017
KA Pollard (MI),2010-2022,189,107,1488,248.0,0,2180,69,Apr-44,31.59,8.79,21.56,1,0,2010,2022
RD Chahar (MI/PBKS/RPS),2017-2023,69,68,1478,246.2,1,1862,65,Apr-27,28.64,7.55,22.73,1,0,2017,2023
SK Trivedi (RR),2008-2013,76,75,1506,251.0,2,1904,65,Apr-25,29.29,7.58,23.16,1,0,2008,2013
JH Kallis (KKR/RCB),2008-2014,98,89,1742,290.2,3,2293,65,Mar-13,35.27,7.89,26.8,0,0,2008,2014
M Muralidaran (CSK/Kochi/RCB),2008-2014,66,66,1524,254.0,1,1696,63,03-Nov,26.92,6.67,24.19,0,0,2008,2014
Shakib Al Hasan (KKR/SRH),2011-2021,71,70,1484,247.2,1,1839,63,Mar-17,29.19,7.43,23.55,0,0,2011,2021
CV Varun (KKR/KXIP),2019-2023,56,56,1288,214.4,1,1600,62,May-20,25.8,7.45,20.77,1,1,2019,2023
MG Johnson (KKR/KXIP/MI),2013-2018,54,54,1232,205.2,2,1702,61,Mar-26,27.9,8.28,20.19,0,0,2013,2018
JP Faulkner (GL/KXIP/PWI/RR),2011-2017,60,60,1227,204.3,4,1778,59,May-16,30.13,8.69,20.79,0,2,2011,2017
S Kaul (DC/RCB/SRH),2013-2022,55,55,1209,201.3,3,1739,58,Apr-29,29.98,8.63,20.84,1,0,2013,2022
KK Ahmed (DC/SRH),2018-2023,43,43,976,162.4,2,1402,57,Mar-21,24.59,8.61,17.12,0,0,2018,2023
SK Warne (RR),2008-2011,55,54,1194,199.0,1,1447,57,Apr-21,25.38,7.27,20.94,1,0,2008,2011
Arshdeep Singh (KXIP/PBKS),2019-2023,51,51,1062,177.0,1,1547,57,May-32,27.14,8.74,18.63,1,1,2019,2023
Avesh Khan (DC/LSG/RCB),2017-2023,47,47,1006,167.4,1,1448,55,Apr-24,26.32,8.63,18.29,1,0,2017,2023
A Nortje (DC),2020-2023,40,40,922,153.4,1,1280,53,Mar-33,24.15,8.32,17.39,0,0,2020,2023
